t	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6
1	0.332723765	0.109810958	-0.105239511	0.322959038	0.228880294	0.03536994	0.24152768	-0.164702605	0.046197689	-0.255126947	0.899804493	-0.187536813
2	0.149948781	0.040453027	-0.152632642	0.260429776	-0.108271228	0.623977298	0.187055452	-0.30796352	0.416052581	-0.140544999	0.814392451	-0.422807841
3	0.107616701	-0.10231282	1.010239616	-0.234680949	0.954642876	-0.04610293	0.985469049	-0.14445679	0.524919977	-0.29334752	0.423955625	-0.427764239
4	0.320024263	0.09168496	-0.04751351	0.337858603	-0.086281156	0.370976351	0.276950054	-0.100056496	0.899600454	-0.293590323	0.854211331	-0.28230653
5	0.323875461	-0.273985562	0.263090342	-0.066809101	0.912350411	0.298562201	0.008073487	-0.432531685	1.071601452	-0.480843162	1.340414559	-0.052905121
6	0.425156506	-0.054310239	0.273102823	-0.062590327	0.413731283	0.16985172	0.322597203	-0.439632423	0.340358401	-0.341562812	0.596286076	-0.298313608
7	0.441202247	-0.071422488	0.050892545	0.114844669	-0.001840773	0.89080191	-0.128502722	0.756673726	-0.330463658	-0.14096779	0.431085831	0.010755608
8	0.438931367	0.050830754	-0.159433959	0.948397576	0.086656057	-0.09203102	1.144146335	-0.33108929	0.284353979	-0.51700341	0.617923605	-0.461836158
9	0.413875941	-0.029763645	0.364595979	-0.090888555	1.368512859	0.077760536	0.023845602	-0.513672512	0.962552995	-0.496284421	0.173354258	-0.039580383
10	0.045738816	-0.04566685	0.966559698	-0.205461295	1.204029203	-0.07042207	0.734957123	-0.169170179	0.347903012	-0.388096023	0.335282438	-0.252539896
11	0.483155794	-0.027504075	-0.165054616	1.018467788	-0.199562353	0.731188755	0.006092543	-0.524399064	0.400334014	-0.105842335	0.903409076	-0.089474309
12	0.28097562	0.006939565	-0.436166466	0.059563015	-0.195739642	0.367836249	0.143927982	-0.432311903	0.2921524	-0.278698552	0.37558132	-0.206270692
13	0.268611834	-0.172604039	0.924317898	-0.231348187	0.503554495	0.188509427	-0.038515461	0.817379791	-0.221536489	0.741511419	0.160034528	-0.117234086
14	0.282544357	0.150849278	-0.448646755	0.303075216	-0.002162046	0.639839911	-0.025305467	0.006122081	-0.054427908	0.213688419	-0.071739609	0.145452909
15	0.214494305	-0.000920633	0.215920456	-0.007247549	0.496253926	0.040447811	-0.303572948	0.696185869	-0.182949051	0.411291667	-0.341274331	0.586181583
16	0.284061214	-0.045107072	-0.208262939	1.032797227	0.09478884	0.203141031	0.108325054	-0.108432436	0.53257757	-0.490976978	1.158720235	-0.177153905
17	0.611912528	0.043112842	-0.607335363	0.473302947	-0.002148803	0.561500049	-0.19102799	0.10121741	-0.269550132	-0.223766495	0.672012928	-0.17554406
18	0.872086203	-0.097307683	0.193925424	-0.197799247	0.696451279	0.177350718	-0.179888001	-0.042146336	0.903957115	-0.361254446	-0.099113281	0.558892953
19	0.75414321	-0.264330232	0.738197654	-0.120972491	1.057423276	-0.09056488	0.225438661	-0.675958963	0.826744035	-0.484085024	0.898993653	-0.176261506
20	0.263491749	-0.126914313	0.253543527	-0.272151471	0.980159003	0.074116197	0.047142092	-0.205748719	-0.005018804	0.768978414	-0.135389666	-0.122152693
21	0.922356584	-0.175143818	0.617450411	-0.246114169	0.350494054	-0.130984288	0.689040689	-0.357854918	0.523948626	-0.293232279	1.011925806	-0.419554135
22	0.712152265	0.036376914	-0.517899232	0.437647575	0.062032057	0.058439634	0.127216397	-0.555952123	0.831040009	-0.506207339	0.667803514	-0.287320599
23	0.621273466	0.155433658	-0.540631945	0.756955802	0.043580269	0.002155231	-0.027374006	-0.084285805	-0.078576062	0.572083358	-0.150377037	0.427862869
24	-0.163044794	0.732172643	-0.754900278	0.259915315	-0.157527569	1.4927457	-0.347580447	0.49133364	-0.266616974	0.401818245	0.055212238	-0.489492914
25	-0.256429652	1.239826766	-0.905576002	0.980199003	-0.182654795	0.941080089	-0.340665031	0.191442101	-0.336384463	0.038101632	-0.1903383	0.87598222
26	-0.003843451	0.187952707	-0.589754799	0.917636791	-0.21222712	0.716706698	-0.317301464	1.033009672	-0.246489155	0.626173364	-0.014209974	0.666531447
27	0.050866103	0.168215837	-0.741340143	0.596362551	-0.229394325	1.395213722	-0.010377269	0.077353146	-0.166170264	0.974153961	0.073893373	-0.230313133
28	0.004094345	-0.196804115	-0.132378117	1.082427265	-0.34954954	0.757277997	0.038273937	-0.708201971	1.048835598	-0.397441075	1.079304975	-0.41598822
29	0.058237632	-0.011435649	-0.044625051	1.021959804	0.049777153	0.283930086	-0.164344005	0.841717682	-0.312951648	0.772638656	-0.073290139	0.503241453
30	-0.118285368	0.777082884	-0.750578455	0.843825834	-0.116537996	0.742451556	-0.359229925	0.069146662	-0.071833464	0.680335791	-0.216496008	0.393706637
31	-0.126711326	0.739291296	-1.102656381	0.216685545	-0.229283789	0.450167458	-0.329671369	-0.382654144	0.685289748	-0.31192794	0.418231415	-0.366771052
32	-0.035072558	0.950852283	-0.66554188	0.490537634	-0.065043058	1.049229095	-0.080716231	0.379696261	-0.246980099	0.110792464	-0.202307014	1.044063521
33	0.330414391	-0.210640642	0.289202391	-0.082899313	0.300505769	0.105131925	-0.484351106	-0.056361529	0.969084768	-0.392199911	-0.129195323	0.714710675
34	0.189822069	0.212103428	-1.13805859	0.98671026	-0.109559698	0.730788826	-0.235075255	-0.348691405	0.89297047	-0.432905607	0.349190422	-0.092601282
35	0.135886604	-0.229321051	-0.163847907	0.906643399	0.117627856	-0.049810819	1.104370082	-0.70860499	0.801681172	-0.323585337	0.898156475	-0.297512352
36	0.338827253	0.307906901	-0.959878526	0.027247648	-0.170472037	0.39761207	-0.529721627	0.687078232	0.031313956	-0.45450945	1.180329964	-0.084661066
37	0.2169484	0.195609997	-0.855136835	0.676922592	-0.106998358	0.406837018	-0.500716114	0.623347613	-0.073495949	-0.34543847	1.280469795	-0.275617082
38	0.120370782	0.32318614	-1.080063521	1.064123085	-0.090914348	0.758302954	-0.433564543	0.893724573	-0.306370102	0.620964679	-0.14326353	0.001001437
39	0.25743186	-0.154986957	0.199116516	-0.314822447	0.589382931	0.141718954	-0.359394546	-0.026163473	1.338266008	-0.574955081	0.261751409	-0.04263609
40	0.693569863	-0.061525218	0.268748968	-0.287196567	0.223759423	0.164836055	-0.213889156	0.613396783	-0.222874989	0.71395922	-0.158802412	0.076841974
41	0.44776113	0.027204943	-0.768668462	0.546981611	-0.209574181	0.953119515	-0.296938422	0.351719684	-0.093424723	-0.020814603	0.562639552	-0.348174249
42	0.619519587	0.334703031	-0.94514295	1.024316205	0.020965037	0.000801768	-0.104570746	0.149490369	-0.157049339	0.282612289	-0.320860849	-0.065234632
43	-0.030980718	0.940211783	-0.819797794	0.10695061	-0.199311598	1.309146774	-0.543482612	0.746047508	-0.184463515	0.396502752	-0.02022885	0.403725038
44	0.300435276	-0.116181915	0.341504932	-0.238967799	0.774365846	0.072268745	-0.320860394	-0.112561007	0.362512212	-0.326448656	0.292098514	-0.271315092
45	0.602598743	0.254959134	-0.785204516	0.075079269	-0.011945939	0.78959283	-0.500192118	-0.059179518	0.523892361	-0.362732574	0.186543925	-0.28095816
46	0.92449049	-0.05922627	-0.726606636	1.052338268	-0.044198218	0.384316283	-0.40094276	0.330291442	0.003982222	-0.812709558	0.736518142	-0.374663338
47	0.950768765	0.29795379	-1.199065796	0.887417892	0.003922024	0.056025882	-0.274836601	0.578734885	-0.022085749	0.906342419	0.05451211	-0.451990204
48	-0.319789665	0.259563143	-1.077745337	0.546242785	-0.217671016	0.287885709	-0.673998555	-0.389655561	0.354606625	-0.609133383	0.607291501	-0.381910975
49	-0.059324975	0.805251132	-1.069645135	0.634520245	-0.174906726	1.556728611	-0.604109851	-0.148765831	0.193318551	-0.585272412	0.567834795	-0.357318327
50	-0.161295603	1.031391415	-0.885790321	0.401319484	-0.337748096	1.161631543	-0.548227733	-0.568806634	0.734331271	-0.760614117	0.198549551	-0.141830861
51	-0.065914267	0.318790579	-1.037308102	0.968728788	-0.214868808	1.31549285	-0.632263676	-0.173343593	0.159668168	-0.690955088	-0.000564409	0.51965801
52	0.109181296	0.405004051	-0.98357749	0.299139882	-0.204344389	1.047825262	-0.293830809	0.193883791	-0.002136611	0.320514819	-0.465988088	0.754968752
53	-0.076484965	0.233200953	-0.98345622	0.783206193	-0.148474802	0.84925688	-0.537685878	0.132135769	-0.235048789	0.372196666	-0.487401553	0.270094131
54	-0.06354264	0.886908496	-1.026056764	0.117054288	-0.102894628	0.85056482	-0.660140402	-0.384281447	0.446204309	-0.541877296	0.810145371	-0.525092493
55	0.018558981	0.013347645	-0.791770074	1.093496117	-0.405034803	0.306914663	-0.309585132	0.45883058	0.101415095	-0.458045115	-0.113217032	0.971345523
56	0.0925497	0.04985373	-1.353087312	0.109643463	-0.024377988	1.216038734	-0.522581846	0.558580518	-0.182162336	-0.28120484	0.680883187	-0.437746758
57	0.118959597	0.192046091	-1.185499753	0.765284804	-0.123543796	0.614624618	-0.477984067	0.569967387	-0.254474913	0.375306371	-0.309056598	0.564466757
